scheme_code,scheme_name,as_of_date,return_1y,return_3y,return_5y,expense_ratio,anomaly_flags,source_reference
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,2026-06-24,0.5035,53.9856,112.4934,,expense_ratio_missing,Derived from cleaned NAV history; expense ratio source missing.
119092,HDFC Money Market Fund - Growth Option - Direct Plan,2026-06-24,6.2686,23.833,37.4095,,expense_ratio_missing,Derived from cleaned NAV history; expense ratio source missing.
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,2026-06-24,-1.3447,-5.7025,-31.6111,,expense_ratio_missing,Derived from cleaned NAV history; expense ratio source missing.
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,2026-06-24,-0.2188,39.4678,49.325,,expense_ratio_missing,Derived from cleaned NAV history; expense ratio source missing.
120841,quant Mid Cap Fund - Growth Option - Direct Plan,2026-06-24,2.9901,63.095,128.8961,,expense_ratio_missing,Derived from cleaned NAV history; expense ratio source missing.
125497,SBI Small Cap Fund - Direct Plan - Growth,2026-06-24,5.4409,50.3938,105.5323,,expense_ratio_missing,Derived from cleaned NAV history; expense ratio source missing.
