scheme_code,requested_name,scheme_name,fund_house,scheme_type,scheme_category,category_group,sub_category,risk_grade,isin_growth,isin_div_reinvestment,source_url,fetched_at,requested_name_mismatch
125497,HDFC Top 100 Direct,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,Equity Scheme,Small Cap Fund,,INF200K01T51,,https://api.mfapi.in/mf/125497,2026-06-25T14:17:03.336073+00:00,True
119551,SBI Bluechip,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt Scheme,Banking and PSU Fund,,INF209KA12Z1,INF209KA13Z9,https://api.mfapi.in/mf/119551,2026-06-25T14:17:04.074711+00:00,True
120503,ICICI Bluechip,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,Equity Scheme,ELSS,,INF846K01EW2,,https://api.mfapi.in/mf/120503,2026-06-25T14:17:04.783056+00:00,True
118632,Nippon Large Cap,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,Equity Scheme,Large Cap Fund,,INF204K01XI3,,https://api.mfapi.in/mf/118632,2026-06-25T14:17:05.462130+00:00,False
119092,Axis Bluechip,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,Debt Scheme,Money Market Fund,,INF179KB1HU9,,https://api.mfapi.in/mf/119092,2026-06-25T14:17:06.005692+00:00,True
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,Equity Scheme,Mid Cap Fund,,INF966L01887,,https://api.mfapi.in/mf/120841,2026-06-25T14:17:06.447263+00:00,True
